Designator,Description,Manufacturer,MPN,Qty,Function
U1,TFLN Mach-Zehnder Modulator (400G),Custom/TFLN-Foundry,TFLN-MZM-400G-C,1,The Core Photonic Engine
U2,"DFB Laser Diode (1550nm, 100mW)",Thorlabs/Lumentum,TLN-1550-100,1,Optical Source (C-Band)
U3,High-Speed Photodetector (100GHz),Finisar,XPDV4120R,1,O-E Conversion
U4,"RF Driver IC (100GHz, Diff)",Analog Devices,HMC8410,1,Amplifies SerDes to drive TFLN
U9,SerDes IC (400G PAM4 Retimer),Broadcom,BCM84881,1,Electrical Interface to PCIe
U10,Precision Clock Generator (Jitter <50fs),Skyworks,Si5395A,1,Timing reference for PAM4
OPT1,Fiber-to-Chip Coupler (PM),LightRail-Optical,FC-TFLN-SMF28,2,Light injection/extraction
J1,PCIe Gen5 x16 Edge Connector,TE Connectivity,2-2013289-6,1,Data/Power from Host
J4-J7,SMA RF Connectors (50GHz),Amphenol,132289,4,Lab Testing / Eye Diagram output
PCB1,15-Layer Rogers/Hybrid PCB,Custom-Fab,CUSTOM-15L-RF,1,The Antigravity Board
